source,target
Sierra Leone,Georgia
Central African Republic,Georgia
Gambia,Georgia
Saint Vincent and the Grenadines,Georgia
United Arab Emirates,Georgia
Benin,Georgia
Central Asia,Georgia
Jamaica,Georgia
Saudi Arabia,Georgia
Tonga,Georgia
Andean Latin America,Georgia
Japan,Georgia
High-income Asia Pacific,Georgia
Kiribati,Georgia
Brunei,Georgia
Belize,Georgia
Poland,Georgia
Paraguay,Georgia
Albania,Georgia
Mexico,Georgia
Libya,Georgia
Cyprus,Georgia
Kazakhstan,Georgia
Azerbaijan,Georgia
Argentina,Georgia
North America,Georgia
Chad,Georgia
Togo,Georgia
Colombia,Georgia
Greece,Georgia
Dominica,Georgia
Tunisia,Georgia
Cameroon,Georgia
United States,Georgia
Northern Mariana Islands,Georgia
Uzbekistan,Georgia
Central Latin America,Georgia
Cote d'Ivoire,Georgia
Suriname,Georgia
Egypt,Georgia
Costa Rica,Georgia
Venezuela,Georgia
Sao Tome and Principe,Georgia
Lithuania,Georgia
Antigua and Barbuda,Georgia
Western Sub-Saharan Africa,Georgia
Mozambique,Georgia
Liberia,Georgia
Guinea-Bissau,Georgia
Pakistan,Georgia
Colombia,Chad
Gambia,Chad
Jamaica,Chad
Saudi Arabia,Chad
Ghana,Chad
Fiji,Chad
Central African Republic,Chad
Sierra Leone,Chad
Andean Latin America,Chad
Greece,Chad
Kazakhstan,Chad
Saint Vincent and the Grenadines,Chad
Guinea-Bissau,Chad
Japan,Chad
Bahamas,Chad
Niger,Chad
Azerbaijan,Chad
Argentina,Chad
Kiribati,Chad
Egypt,Chad
Liberia,Chad
Northern Mariana Islands,Chad
United States,Chad
Senegal,Chad
Sao Tome and Principe,Chad
Costa Rica,Chad
Mozambique,Chad
Belize,Chad
Uzbekistan,Chad
Cote d'Ivoire,Chad
Albania,Chad
Mongolia,Chad
Tonga,Chad
American Samoa,Chad
Western Sub-Saharan Africa,Chad
Libya,Chad
Dominica,Chad
Central Asia,Chad
Poland,Chad
Tajikistan,Chad
Tunisia,Chad
Venezuela,Chad
Cameroon,Chad
Benin,Chad
Antigua and Barbuda,Chad
North America,Chad
Pakistan,Chad
Cyprus,Chad
Paraguay,Chad
Lithuania,Chad
Brunei,Chad
United Arab Emirates,Chad
Togo,Chad
Central Latin America,Chad
Malawi,Chad
Mexico,Chad
Suriname,Chad
High-income Asia Pacific,Chad
Egypt,Sierra Leone
Malawi,Sierra Leone
Turkmenistan,Sierra Leone
Togo,Sierra Leone
Panama,Sierra Leone
Central African Republic,Sierra Leone
Paraguay,Sierra Leone
Cameroon,Sierra Leone
Niger,Sierra Leone
Suriname,Sierra Leone
Gabon,Sierra Leone
Tajikistan,Sierra Leone
Saint Vincent and the Grenadines,Sierra Leone
Cote d'Ivoire,Sierra Leone
Liberia,Sierra Leone
United States Virgin Islands,Sierra Leone
North America,Sierra Leone
Libya,Sierra Leone
Uzbekistan,Sierra Leone
Andean Latin America,Sierra Leone
Dominica,Sierra Leone
Colombia,Sierra Leone
Ghana,Sierra Leone
Japan,Sierra Leone
Mongolia,Sierra Leone
Northern Mariana Islands,Sierra Leone
Argentina,Sierra Leone
Malta,Sierra Leone
American Samoa,Sierra Leone
Costa Rica,Sierra Leone
Benin,Sierra Leone
Fiji,Sierra Leone
Guinea-Bissau,Sierra Leone
Saudi Arabia,Sierra Leone
Venezuela,Sierra Leone
Western Sub-Saharan Africa,Sierra Leone
Latin America and Caribbean,Sierra Leone
Greece,Sierra Leone
Mexico,Sierra Leone
Bahamas,Sierra Leone
Kiribati,Sierra Leone
Lebanon,Sierra Leone
Brunei,Sierra Leone
Tonga,Sierra Leone
Senegal,Sierra Leone
Mozambique,Sierra Leone
High-income Asia Pacific,Sierra Leone
Kenya,Sierra Leone
Lithuania,Sierra Leone
Belize,Sierra Leone
Central Latin America,Sierra Leone
Poland,Sierra Leone
United States,Sierra Leone
Albania,Sierra Leone
Gambia,Sierra Leone
Pakistan,Sierra Leone
Jamaica,Sierra Leone
Sao Tome and Principe,Sierra Leone
Romania,Sierra Leone
Kuwait,Sierra Leone
Tunisia,Sierra Leone
Cyprus,Sierra Leone
Central Asia,Sierra Leone
Northern Ireland,Sierra Leone
Azerbaijan,Sierra Leone
Antigua and Barbuda,Sierra Leone
United Arab Emirates,Sierra Leone
Kazakhstan,Sierra Leone
Niger,Liberia
Northern Mariana Islands,Liberia
Mexico,Liberia
Saudi Arabia,Liberia
Western Sub-Saharan Africa,Liberia
Kuwait,Liberia
United Arab Emirates,Liberia
Central Asia,Liberia
Benin,Liberia
United States,Liberia
Gambia,Liberia
Cameroon,Liberia
Guinea-Bissau,Liberia
Northern Ireland,Liberia
Kazakhstan,Liberia
Cote d'Ivoire,Liberia
Saint Vincent and the Grenadines,Liberia
Andean Latin America,Liberia
Ghana,Liberia
Tajikistan,Liberia
Panama,Liberia
Kenya,Liberia
Bahamas,Liberia
United States Virgin Islands,Liberia
Burkina Faso,Liberia
Lebanon,Liberia
Suriname,Liberia
Poland,Liberia
Libya,Liberia
Egypt,Liberia
Fiji,Liberia
Latin America and Caribbean,Liberia
Turkmenistan,Liberia
Gabon,Liberia
Colombia,Liberia
Malawi,Liberia
Kiribati,Liberia
Brunei,Liberia
Togo,Liberia
Japan,Liberia
Azerbaijan,Liberia
Dominica,Liberia
Belize,Liberia
Argentina,Liberia
Albania,Liberia
Costa Rica,Liberia
Central African Republic,Liberia
North America,Liberia
Senegal,Liberia
Tonga,Liberia
Uzbekistan,Liberia
Pakistan,Liberia
Paraguay,Liberia
Mongolia,Liberia
Cyprus,Liberia
Greece,Liberia
American Samoa,Liberia
Lithuania,Liberia
Malta,Liberia
Jamaica,Liberia
Venezuela,Liberia
Antigua and Barbuda,Liberia
High-income Asia Pacific,Liberia
Sao Tome and Principe,Liberia
Mozambique,Liberia
Romania,Liberia
Tunisia,Liberia
Central Latin America,Liberia
Mongolia,Jamaica
Japan,Jamaica
Tonga,Jamaica
American Samoa,Jamaica
Turkmenistan,Jamaica
Niger,Jamaica
Kiribati,Jamaica
Cyprus,Jamaica
Democratic Republic of Congo,Jamaica
Paraguay,Jamaica
Mozambique,Jamaica
United States,Jamaica
Saint Vincent and the Grenadines,Jamaica
Brunei,Jamaica
Panama,Jamaica
Tunisia,Jamaica
Malta,Jamaica
Gambia,Jamaica
Guinea-Bissau,Jamaica
Fiji,Jamaica
Yemen,Jamaica
Greece,Jamaica
United States Virgin Islands,Jamaica
Kazakhstan,Jamaica
Cameroon,Jamaica
Saudi Arabia,Jamaica
Western Sub-Saharan Africa,Jamaica
Romania,Jamaica
Central African Republic,Jamaica
Albania,Jamaica
United Arab Emirates,Jamaica
Syria,Jamaica
Poland,Jamaica
Benin,Jamaica
Central Latin America,Jamaica
Belize,Jamaica
Azerbaijan,Jamaica
Kuwait,Jamaica
Libya,Jamaica
Malawi,Jamaica
Northern Ireland,Jamaica
Gabon,Jamaica
Uzbekistan,Jamaica
Central Asia,Jamaica
Tajikistan,Jamaica
Suriname,Jamaica
Senegal,Jamaica
Costa Rica,Jamaica
Kenya,Jamaica
Pakistan,Jamaica
Sao Tome and Principe,Jamaica
Latin America and Caribbean,Jamaica
Cote d'Ivoire,Jamaica
North America,Jamaica
Burkina Faso,Jamaica
Bahamas,Jamaica
Lebanon,Jamaica
Argentina,Jamaica
Mexico,Jamaica
Antigua and Barbuda,Jamaica
Andean Latin America,Jamaica
High-income Asia Pacific,Jamaica
Togo,Jamaica
Egypt,Jamaica
Northern Mariana Islands,Jamaica
Ghana,Jamaica
Venezuela,Jamaica
Colombia,Jamaica
Lithuania,Jamaica
Dominica,Jamaica
Benin,Paraguay
Cameroon,Paraguay
American Samoa,Paraguay
Azerbaijan,Paraguay
Gabon,Paraguay
Uzbekistan,Paraguay
Togo,Paraguay
Antigua and Barbuda,Paraguay
Mongolia,Paraguay
Tajikistan,Paraguay
Kuwait,Paraguay
Brunei,Paraguay
Saint Vincent and the Grenadines,Paraguay
Cote d'Ivoire,Paraguay
Northern Ireland,Paraguay
Gambia,Paraguay
Andean Latin America,Paraguay
Belize,Paraguay
Mexico,Paraguay
Kiribati,Paraguay
Lithuania,Paraguay
Malawi,Paraguay
Central Asia,Paraguay
United Arab Emirates,Paraguay
Western Sub-Saharan Africa,Paraguay
Colombia,Paraguay
Saudi Arabia,Paraguay
Central Latin America,Paraguay
High-income Asia Pacific,Paraguay
Greece,Paraguay
Sao Tome and Principe,Paraguay
Malta,Paraguay
Suriname,Paraguay
Tunisia,Paraguay
Central African Republic,Paraguay
Democratic Republic of Congo,Paraguay
Ghana,Paraguay
Guinea-Bissau,Paraguay
Niger,Paraguay
Poland,Paraguay
Fiji,Paraguay
North America,Paraguay
Venezuela,Paraguay
Libya,Paraguay
Wales,Paraguay
United States Virgin Islands,Paraguay
Senegal,Paraguay
Kenya,Paraguay
Kazakhstan,Paraguay
Northern Mariana Islands,Paraguay
Burkina Faso,Paraguay
Mozambique,Paraguay
United States,Paraguay
Lebanon,Paraguay
Algeria,Paraguay
Turkmenistan,Paraguay
Bahamas,Paraguay
Dominica,Paraguay
Yemen,Paraguay
Latin America and Caribbean,Paraguay
Syria,Paraguay
Egypt,Paraguay
Panama,Paraguay
Tonga,Paraguay
Albania,Paraguay
Cyprus,Paraguay
Argentina,Paraguay
Romania,Paraguay
Pakistan,Paraguay
Japan,Paraguay
Costa Rica,Paraguay
Azerbaijan,Mexico
Lebanon,Mexico
Poland,Mexico
Belize,Mexico
Venezuela,Mexico
Lithuania,Mexico
Costa Rica,Mexico
Dominica,Mexico
Libya,Mexico
Pakistan,Mexico
Central African Republic,Mexico
Egypt,Mexico
Western Sub-Saharan Africa,Mexico
Kenya,Mexico
United States,Mexico
Togo,Mexico
Benin,Mexico
Kiribati,Mexico
Cote d'Ivoire,Mexico
Malawi,Mexico
South Sudan,Mexico
United Arab Emirates,Mexico
Cyprus,Mexico
Greece,Mexico
Syria,Mexico
Kazakhstan,Mexico
Bahamas,Mexico
High-income Asia Pacific,Mexico
Uzbekistan,Mexico
Algeria,Mexico
Guinea-Bissau,Mexico
Ghana,Mexico
Mongolia,Mexico
Fiji,Mexico
Suriname,Mexico
Yemen,Mexico
Turkmenistan,Mexico
United States Virgin Islands,Mexico
Colombia,Mexico
Romania,Mexico
Tajikistan,Mexico
Niger,Mexico
Northern Mariana Islands,Mexico
Gambia,Mexico
Brunei,Mexico
Central Asia,Mexico
North America,Mexico
Tonga,Mexico
Kuwait,Mexico
Latin America and Caribbean,Mexico
Tunisia,Mexico
American Samoa,Mexico
Mozambique,Mexico
Northern Ireland,Mexico
Burkina Faso,Mexico
Antigua and Barbuda,Mexico
Cameroon,Mexico
Gabon,Mexico
Japan,Mexico
Senegal,Mexico
Albania,Mexico
Argentina,Mexico
Andean Latin America,Mexico
Sao Tome and Principe,Mexico
Wales,Mexico
Panama,Mexico
Democratic Republic of Congo,Mexico
Saudi Arabia,Mexico
Saint Vincent and the Grenadines,Mexico
Malta,Mexico
Central Latin America,Mexico
Yemen,Kazakhstan
Poland,Kazakhstan
Cameroon,Kazakhstan
Albania,Kazakhstan
Algeria,Kazakhstan
Kenya,Kazakhstan
Mali,Kazakhstan
Gambia,Kazakhstan
Colombia,Kazakhstan
Bahamas,Kazakhstan
Argentina,Kazakhstan
Central Asia,Kazakhstan
Egypt,Kazakhstan
Malta,Kazakhstan
Tonga,Kazakhstan
Wales,Kazakhstan
Uzbekistan,Kazakhstan
Mongolia,Kazakhstan
Northern Ireland,Kazakhstan
Western Sub-Saharan Africa,Kazakhstan
Pakistan,Kazakhstan
Kiribati,Kazakhstan
Benin,Kazakhstan
Belize,Kazakhstan
Togo,Kazakhstan
High-income Asia Pacific,Kazakhstan
Azerbaijan,Kazakhstan
Lebanon,Kazakhstan
Cote d'Ivoire,Kazakhstan
Venezuela,Kazakhstan
Latin America and Caribbean,Kazakhstan
Libya,Kazakhstan
Japan,Kazakhstan
Central Latin America,Kazakhstan
United Arab Emirates,Kazakhstan
Senegal,Kazakhstan
Saint Vincent and the Grenadines,Kazakhstan
Fiji,Kazakhstan
Oman,Kazakhstan
Costa Rica,Kazakhstan
Kuwait,Kazakhstan
Panama,Kazakhstan
Ghana,Kazakhstan
Greece,Kazakhstan
Sao Tome and Principe,Kazakhstan
Syria,Kazakhstan
Democratic Republic of Congo,Kazakhstan
Gabon,Kazakhstan
Cyprus,Kazakhstan
Malawi,Kazakhstan
Saudi Arabia,Kazakhstan
Mozambique,Kazakhstan
American Samoa,Kazakhstan
Guinea-Bissau,Kazakhstan
Suriname,Kazakhstan
Dominica,Kazakhstan
Tunisia,Kazakhstan
United States Virgin Islands,Kazakhstan
Turkmenistan,Kazakhstan
Andean Latin America,Kazakhstan
Niger,Kazakhstan
Central African Republic,Kazakhstan
Lithuania,Kazakhstan
Brunei,Kazakhstan
Northern Mariana Islands,Kazakhstan
South Sudan,Kazakhstan
Romania,Kazakhstan
United States,Kazakhstan
Tajikistan,Kazakhstan
Burkina Faso,Kazakhstan
North America,Kazakhstan
Antigua and Barbuda,Kazakhstan
Wales,Brunei
Egypt,Brunei
Gambia,Brunei
Northern Mariana Islands,Brunei
Sao Tome and Principe,Brunei
United Arab Emirates,Brunei
Syria,Brunei
Antigua and Barbuda,Brunei
Panama,Brunei
Fiji,Brunei
Libya,Brunei
Oman,Brunei
Barbados,Brunei
Malta,Brunei
Tunisia,Brunei
Dominica,Brunei
Indonesia,Brunei
Turkey,Brunei
Kuwait,Brunei
Azerbaijan,Brunei
Greece,Brunei
Tajikistan,Brunei
Cameroon,Brunei
Gabon,Brunei
Central Latin America,Brunei
Lithuania,Brunei
Uzbekistan,Brunei
Lebanon,Brunei
Democratic Republic of Congo,Brunei
High-income Asia Pacific,Brunei
Romania,Brunei
Djibouti,Brunei
Niger,Brunei
Tonga,Brunei
Togo,Brunei
Saudi Arabia,Brunei
Costa Rica,Brunei
Guinea-Bissau,Brunei
Kiribati,Brunei
Cote d'Ivoire,Brunei
Algeria,Brunei
American Samoa,Brunei
Bahamas,Brunei
Burkina Faso,Brunei
Northern Ireland,Brunei
Western Sub-Saharan Africa,Brunei
Latin America and Caribbean,Brunei
United States Virgin Islands,Brunei
Ghana,Brunei
North America,Brunei
Benin,Brunei
Mozambique,Brunei
Central African Republic,Brunei
Japan,Brunei
Mali,Brunei
United States,Brunei
Suriname,Brunei
Belize,Brunei
Morocco,Brunei
Colombia,Brunei
Kenya,Brunei
Cyprus,Brunei
Venezuela,Brunei
Turkmenistan,Brunei
Argentina,Brunei
Mongolia,Brunei
Senegal,Brunei
South Sudan,Brunei
Somalia,Brunei
Malawi,Brunei
Pakistan,Brunei
Albania,Brunei
Central Asia,Brunei
Andean Latin America,Brunei
Yemen,Brunei
Poland,Brunei
Saint Vincent and the Grenadines,Brunei
Libya,Ghana
Turkey,Ghana
Western Sub-Saharan Africa,Ghana
Gabon,Ghana
Cyprus,Ghana
Mozambique,Ghana
South Sudan,Ghana
Northern Ireland,Ghana
American Samoa,Ghana
Cote d'Ivoire,Ghana
Bahamas,Ghana
Senegal,Ghana
Malawi,Ghana
Fiji,Ghana
Tonga,Ghana
Barbados,Ghana
Niger,Ghana
Gambia,Ghana
Wales,Ghana
Turkmenistan,Ghana
Guinea-Bissau,Ghana
Belize,Ghana
Burkina Faso,Ghana
Northern Mariana Islands,Ghana
Mongolia,Ghana
Kuwait,Ghana
Pakistan,Ghana
Syria,Ghana
Central African Republic,Ghana
Latin America and Caribbean,Ghana
Venezuela,Ghana
North America,Ghana
Malta,Ghana
Algeria,Ghana
Azerbaijan,Ghana
Greece,Ghana
Morocco,Ghana
Suriname,Ghana
Costa Rica,Ghana
Andean Latin America,Ghana
Argentina,Ghana
Uzbekistan,Ghana
Kenya,Ghana
Egypt,Ghana
Saint Vincent and the Grenadines,Ghana
Albania,Ghana
Djibouti,Ghana
United Arab Emirates,Ghana
Saudi Arabia,Ghana
Oman,Ghana
Poland,Ghana
Antigua and Barbuda,Ghana
Central Asia,Ghana
Mali,Ghana
Panama,Ghana
Japan,Ghana
Central Latin America,Ghana
Benin,Ghana
Togo,Ghana
United States Virgin Islands,Ghana
Democratic Republic of Congo,Ghana
Lebanon,Ghana
Romania,Ghana
Dominica,Ghana
Colombia,Ghana
Tajikistan,Ghana
Somalia,Ghana
Indonesia,Ghana
Lithuania,Ghana
Sao Tome and Principe,Ghana
United States,Ghana
High-income Asia Pacific,Ghana
Kiribati,Ghana
Cameroon,Ghana
Yemen,Ghana
Tunisia,Ghana
Nigeria,Belize
Uzbekistan,Belize
Wales,Belize
Democratic Republic of Congo,Belize
Venezuela,Belize
Niger,Belize
Mozambique,Belize
Mali,Belize
Syria,Belize
Burkina Faso,Belize
Lithuania,Belize
Tunisia,Belize
Malta,Belize
Senegal,Belize
Bahamas,Belize
United Arab Emirates,Belize
Turkey,Belize
Colombia,Belize
Lebanon,Belize
Libya,Belize
Algeria,Belize
High-income Asia Pacific,Belize
Panama,Belize
Egypt,Belize
Suriname,Belize
Oman,Belize
Saint Vincent and the Grenadines,Belize
Barbados,Belize
Kiribati,Belize
Cameroon,Belize
Djibouti,Belize
United States,Belize
Yemen,Belize
United States Virgin Islands,Belize
Gambia,Belize
Tajikistan,Belize
Morocco,Belize
Poland,Belize
Tonga,Belize
Pakistan,Belize
Togo,Belize
Turkmenistan,Belize
Central Latin America,Belize
Malawi,Belize
Benin,Belize
Northern Ireland,Belize
Andean Latin America,Belize
Costa Rica,Belize
Dominica,Belize
Greece,Belize
American Samoa,Belize
Japan,Belize
North America,Belize
Gabon,Belize
Antigua and Barbuda,Belize
Central African Republic,Belize
South Sudan,Belize
Argentina,Belize
Cote d'Ivoire,Belize
Sao Tome and Principe,Belize
Central Asia,Belize
Northern Mariana Islands,Belize
Azerbaijan,Belize
Kenya,Belize
Guinea-Bissau,Belize
Latin America and Caribbean,Belize
Saudi Arabia,Belize
Indonesia,Belize
Romania,Belize
Fiji,Belize
Western Sub-Saharan Africa,Belize
Albania,Belize
Kuwait,Belize
Somalia,Belize
Mongolia,Belize
Cyprus,Belize
Algeria,Libya
Kenya,Libya
Greece,Libya
Wales,Libya
South Sudan,Libya
Bahamas,Libya
Argentina,Libya
Suriname,Libya
Cameroon,Libya
Niger,Libya
North Africa and Middle East,Libya
American Samoa,Libya
Saint Vincent and the Grenadines,Libya
Northern Ireland,Libya
Uzbekistan,Libya
United States,Libya
Somalia,Libya
Senegal,Libya
Northern Mariana Islands,Libya
Guinea-Bissau,Libya
Antigua and Barbuda,Libya
Western Sub-Saharan Africa,Libya
Mongolia,Libya
Tunisia,Libya
Eastern Europe,Libya
Dominica,Libya
Saudi Arabia,Libya
Pakistan,Libya
Gambia,Libya
Malta,Libya
Panama,Libya
Benin,Libya
Brazil,Libya
Oman,Libya
Lebanon,Libya
Kuwait,Libya
Poland,Libya
Central Latin America,Libya
Syria,Libya
Colombia,Libya
Malawi,Libya
Kiribati,Libya
Togo,Libya
Djibouti,Libya
Egypt,Libya
United States Virgin Islands,Libya
Gabon,Libya
High-income Asia Pacific,Libya
Lithuania,Libya
Japan,Libya
Yemen,Libya
Venezuela,Libya
Albania,Libya
Costa Rica,Libya
Tajikistan,Libya
Turkey,Libya
Burkina Faso,Libya
North America,Libya
Andean Latin America,Libya
Barbados,Libya
Mali,Libya
Central African Republic,Libya
Cyprus,Libya
Fiji,Libya
Sao Tome and Principe,Libya
Mozambique,Libya
United Arab Emirates,Libya
Nigeria,Libya
Azerbaijan,Libya
Central Asia,Libya
Democratic Republic of Congo,Libya
Morocco,Libya
Latin America and Caribbean,Libya
Romania,Libya
Turkmenistan,Libya
Tonga,Libya
Cote d'Ivoire,Libya
Tropical Latin America,Libya
Indonesia,Libya
Pakistan,High-income Asia Pacific
Colombia,High-income Asia Pacific
Sao Tome and Principe,High-income Asia Pacific
Kenya,High-income Asia Pacific
Tropical Latin America,High-income Asia Pacific
American Samoa,High-income Asia Pacific
Gambia,High-income Asia Pacific
Poland,High-income Asia Pacific
Djibouti,High-income Asia Pacific
Tonga,High-income Asia Pacific
Tunisia,High-income Asia Pacific
United States Virgin Islands,High-income Asia Pacific
Mauritania,High-income Asia Pacific
North America,High-income Asia Pacific
Turkmenistan,High-income Asia Pacific
Suriname,High-income Asia Pacific
Cameroon,High-income Asia Pacific
Argentina,High-income Asia Pacific
Northern Mariana Islands,High-income Asia Pacific
Tajikistan,High-income Asia Pacific
Panama,High-income Asia Pacific
Central African Republic,High-income Asia Pacific
Lithuania,High-income Asia Pacific
Indonesia,High-income Asia Pacific
Gabon,High-income Asia Pacific
Burkina Faso,High-income Asia Pacific
South Sudan,High-income Asia Pacific
Saudi Arabia,High-income Asia Pacific
Democratic Republic of Congo,High-income Asia Pacific
Dominica,High-income Asia Pacific
Azerbaijan,High-income Asia Pacific
Barbados,High-income Asia Pacific
Egypt,High-income Asia Pacific
Lebanon,High-income Asia Pacific
Japan,High-income Asia Pacific
Morocco,High-income Asia Pacific
Mali,High-income Asia Pacific
Western Sub-Saharan Africa,High-income Asia Pacific
Togo,High-income Asia Pacific
United Arab Emirates,High-income Asia Pacific
Andean Latin America,High-income Asia Pacific
Mongolia,High-income Asia Pacific
Venezuela,High-income Asia Pacific
Malta,High-income Asia Pacific
Malawi,High-income Asia Pacific
North Africa and Middle East,High-income Asia Pacific
Brazil,High-income Asia Pacific
Northern Ireland,High-income Asia Pacific
Oman,High-income Asia Pacific
Greece,High-income Asia Pacific
Algeria,High-income Asia Pacific
Costa Rica,High-income Asia Pacific
Kiribati,High-income Asia Pacific
United States,High-income Asia Pacific
Senegal,High-income Asia Pacific
Cote d'Ivoire,High-income Asia Pacific
Latin America and Caribbean,High-income Asia Pacific
Romania,High-income Asia Pacific
Niger,High-income Asia Pacific
Bahamas,High-income Asia Pacific
Benin,High-income Asia Pacific
Yemen,High-income Asia Pacific
Antigua and Barbuda,High-income Asia Pacific
Central Asia,High-income Asia Pacific
Uzbekistan,High-income Asia Pacific
Syria,High-income Asia Pacific
Wales,High-income Asia Pacific
Turkey,High-income Asia Pacific
Albania,High-income Asia Pacific
Guinea-Bissau,High-income Asia Pacific
Kuwait,High-income Asia Pacific
Cyprus,High-income Asia Pacific
Eastern Europe,High-income Asia Pacific
Fiji,High-income Asia Pacific
Central Latin America,High-income Asia Pacific
Somalia,High-income Asia Pacific
Nigeria,High-income Asia Pacific
Mozambique,High-income Asia Pacific
Peru,High-income Asia Pacific
Saint Vincent and the Grenadines,High-income Asia Pacific
Saint Vincent and the Grenadines,Costa Rica
Gambia,Costa Rica
Tropical Latin America,Costa Rica
Barbados,Costa Rica
Antigua and Barbuda,Costa Rica
Brazil,Costa Rica
Malawi,Costa Rica
