source,target
Iraq,Albania
Tunisia,Albania
Andean Latin America,Albania
Bosnia and Herzegovina,Albania
North America,Albania
Uruguay,Albania
New Zealand,Albania
Indonesia,Albania
United States,Albania
United Arab Emirates,Albania
Solomon Islands,Albania
Tonga,Albania
Qatar,Albania
Brazil,Albania
Nicaragua,Albania
Zambia,Albania
Malawi,Albania
Dominican Republic,Albania
Yemen,Albania
Grenada,Albania
France,Albania
England,Albania
Peru,Albania
South Korea,Albania
Pakistan,Albania
Palestine,Albania
Venezuela,Albania
Malaysia,Albania
Malta,Albania
Cyprus,Albania
Serbia,Albania
Thailand,Albania
Dominica,Albania
Comoros,Albania
Wales,Albania
Saudi Arabia,Albania
Scotland,Albania
Belgium,Albania
Kiribati,Albania
Kuwait,Albania
Sweden,Albania
Czechia,Albania
Australasia,Albania
Laos,Albania
Panama,Albania
Middle SDI,Albania
Bhutan,Albania
United Kingdom,Albania
Southern Latin America,Albania
Chile,Albania
American Samoa,Albania
Southern Sub-Saharan Africa,Albania
Western Europe,Albania
Central Europe,Albania
Nepal,Albania
Portugal,Albania
Libya,Albania
Philippines,Albania
Norway,Albania
Japan,Albania
Namibia,Albania
Oman,Albania
Romania,Albania
Haiti,Albania
United States Virgin Islands,Albania
Oceania,Albania
Austria,Albania
Bulgaria,Albania
High-middle SDI,Albania
Netherlands,Albania
Slovakia,Albania
Costa Rica,Albania
Poland,Albania
Colombia,Albania
Andorra,Albania
Taiwan,Albania
Germany,Albania
Sudan,Albania
Suriname,Albania
Belize,Albania
Trinidad and Tobago,Albania
Samoa,Albania
Algeria,Albania
Jamaica,Albania
Turkey,Albania
Guyana,Albania
Argentina,Albania
Puerto Rico,Albania
Switzerland,Albania
Barbados,Albania
Saint Vincent and the Grenadines,Albania
Latin America and Caribbean,Albania
Antigua and Barbuda,Albania
Ireland,Albania
Southeast Asia,Albania
Marshall Islands,Albania
North Korea,Albania
Italy,Albania
Croatia,Albania
Afghanistan,Albania
Myanmar,Albania
High-income,Albania
Bahrain,Albania
Bolivia,Albania
Hungary,Albania
Northern Mariana Islands,Albania
Egypt,Albania
Australia,Albania
Greece,Albania
South Africa,Albania
Caribbean,Albania
Canada,Albania
Spain,Albania
Iran,Albania
Paraguay,Albania
Bermuda,Albania
Cuba,Albania
High-income Asia Pacific,Albania
Seychelles,Albania
Micronesia (country),Albania
Iceland,Albania
Denmark,Albania
Montenegro,Albania
North Africa and Middle East,Albania
Brunei,Albania
Slovenia,Albania
Azerbaijan,Albania
Cambodia,Algeria
Jordan,Algeria
Qatar,Algeria
Wales,Algeria
Southern Sub-Saharan Africa,Algeria
Serbia,Algeria
Suriname,Algeria
Bhutan,Algeria
Egypt,Algeria
Bermuda,Algeria
Trinidad and Tobago,Algeria
North Macedonia,Algeria
Switzerland,Algeria
Southern Latin America,Algeria
Central Europe,Algeria
Bahrain,Algeria
Bahamas,Algeria
Thailand,Algeria
Tunisia,Algeria
Colombia,Algeria
Guyana,Algeria
Cyprus,Algeria
Greece,Algeria
Indonesia,Algeria
Comoros,Algeria
New Zealand,Algeria
Italy,Algeria
Chile,Algeria
Slovenia,Algeria
North America,Algeria
Cuba,Algeria
High-income,Algeria
Namibia,Algeria
United Arab Emirates,Algeria
Czechia,Algeria
Costa Rica,Algeria
France,Algeria
Syria,Algeria
Canada,Algeria
Malaysia,Algeria
Saudi Arabia,Algeria
Iran,Algeria
Taiwan,Algeria
Hungary,Algeria
Micronesia (country),Algeria
Malta,Algeria
Honduras,Algeria
Poland,Algeria
Montenegro,Algeria
Dominica,Algeria
Myanmar,Algeria
Antigua and Barbuda,Algeria
Slovakia,Algeria
Australia,Algeria
Zambia,Algeria
North Korea,Algeria
Oman,Algeria
Jamaica,Algeria
American Samoa,Algeria
Oceania,Algeria
Turkey,Algeria
Northern Mariana Islands,Algeria
Brunei,Algeria
Albania,Algeria
Denmark,Algeria
Dominican Republic,Algeria
Uruguay,Algeria
South Africa,Algeria
Laos,Algeria
Tropical Latin America,Algeria
Bangladesh,Algeria
Middle SDI,Algeria
Austria,Algeria
Luxembourg,Algeria
High-income Asia Pacific,Algeria
Paraguay,Algeria
Tonga,Algeria
Japan,Algeria
Palestine,Algeria
Azerbaijan,Algeria
Andean Latin America,Algeria
Grenada,Algeria
Belgium,Algeria
Kiribati,Algeria
North Africa and Middle East,Algeria
Samoa,Algeria
High SDI,Algeria
Western Europe,Algeria
Bulgaria,Algeria
Vanuatu,Algeria
Bolivia,Algeria
Argentina,Algeria
England,Algeria
Barbados,Algeria
Seychelles,Algeria
High-middle SDI,Algeria
United States,Algeria
Ireland,Algeria
Caribbean,Algeria
Saint Vincent and the Grenadines,Algeria
Mexico,Algeria
Kuwait,Algeria
Malawi,Algeria
Yemen,Algeria
Ecuador,Algeria
Southeast Asia,Algeria
Iceland,Algeria
Solomon Islands,Algeria
Belize,Algeria
Scotland,Algeria
United States Virgin Islands,Algeria
Peru,Algeria
Netherlands,Algeria
Nepal,Algeria
Libya,Algeria
Romania,Algeria
World,Algeria
Spain,Algeria
Germany,Algeria
Pakistan,Algeria
Sweden,Algeria
Venezuela,Algeria
Iraq,Algeria
Andorra,Algeria
Philippines,Algeria
Sudan,Algeria
Australasia,Algeria
United Kingdom,Algeria
Norway,Algeria
Croatia,Algeria
Northern Ireland,Algeria
Latin America and Caribbean,Algeria
Haiti,Algeria
Puerto Rico,Algeria
Panama,Algeria
Fiji,Algeria
Central Latin America,Algeria
Brazil,Algeria
Saint Lucia,Algeria
Marshall Islands,Algeria
Lebanon,Algeria
Bosnia and Herzegovina,Algeria
South Korea,Algeria
Afghanistan,Algeria
Nicaragua,Algeria
Portugal,Algeria
Azerbaijan,American Samoa
Romania,American Samoa
Qatar,American Samoa
Iceland,American Samoa
Brazil,American Samoa
Trinidad and Tobago,American Samoa
Northern Ireland,American Samoa
Canada,American Samoa
Algeria,American Samoa
Ireland,American Samoa
Mexico,American Samoa
Chile,American Samoa
Denmark,American Samoa
Zambia,American Samoa
Solomon Islands,American Samoa
Thailand,American Samoa
High-income Asia Pacific,American Samoa
Yemen,American Samoa
Peru,American Samoa
Belgium,American Samoa
Australasia,American Samoa
Fiji,American Samoa
Bermuda,American Samoa
Bolivia,American Samoa
Brunei,American Samoa
Vanuatu,American Samoa
Tropical Latin America,American Samoa
Bahrain,American Samoa
High SDI,American Samoa
High-middle SDI,American Samoa
Afghanistan,American Samoa
Iraq,American Samoa
Italy,American Samoa
Cambodia,American Samoa
High-income,American Samoa
Latin America and Caribbean,American Samoa
Libya,American Samoa
Palestine,American Samoa
Bangladesh,American Samoa
Jamaica,American Samoa
Suriname,American Samoa
Haiti,American Samoa
South Korea,American Samoa
United States Virgin Islands,American Samoa
Philippines,American Samoa
United Arab Emirates,American Samoa
Kuwait,American Samoa
Croatia,American Samoa
United States,American Samoa
New Zealand,American Samoa
Greece,American Samoa
Malawi,American Samoa
Dominica,American Samoa
Honduras,American Samoa
Paraguay,American Samoa
Kiribati,American Samoa
Southeast Asia,American Samoa
Bahamas,American Samoa
Malaysia,American Samoa
Bhutan,American Samoa
Switzerland,American Samoa
Malta,American Samoa
Norway,American Samoa
Grenada,American Samoa
North Korea,American Samoa
Scotland,American Samoa
Australia,American Samoa
Nepal,American Samoa
Comoros,American Samoa
North America,American Samoa
Dominican Republic,American Samoa
Panama,American Samoa
Lebanon,American Samoa
England,American Samoa
Bosnia and Herzegovina,American Samoa
Saudi Arabia,American Samoa
Northern Mariana Islands,American Samoa
Saint Vincent and the Grenadines,American Samoa
Montenegro,American Samoa
Ecuador,American Samoa
Syria,American Samoa
Germany,American Samoa
Caribbean,American Samoa
Southern Latin America,American Samoa
Indonesia,American Samoa
Sweden,American Samoa
Seychelles,American Samoa
United Kingdom,American Samoa
Austria,American Samoa
Egypt,American Samoa
Costa Rica,American Samoa
Laos,American Samoa
Southern Sub-Saharan Africa,American Samoa
Tonga,American Samoa
Cuba,American Samoa
Czechia,American Samoa
North Macedonia,American Samoa
Bulgaria,American Samoa
Wales,American Samoa
Venezuela,American Samoa
Colombia,American Samoa
South Africa,American Samoa
Middle SDI,American Samoa
Poland,American Samoa
North Africa and Middle East,American Samoa
Oman,American Samoa
Belize,American Samoa
Turkey,American Samoa
Nicaragua,American Samoa
Portugal,American Samoa
Andorra,American Samoa
Hungary,American Samoa
Western Europe,American Samoa
France,American Samoa
Japan,American Samoa
Uruguay,American Samoa
Oceania,American Samoa
Albania,American Samoa
Marshall Islands,American Samoa
Antigua and Barbuda,American Samoa
Pakistan,American Samoa
Slovenia,American Samoa
Micronesia (country),American Samoa
Namibia,American Samoa
Samoa,American Samoa
Sudan,American Samoa
Luxembourg,American Samoa
Slovakia,American Samoa
Spain,American Samoa
Serbia,American Samoa
Cyprus,American Samoa
Jordan,American Samoa
Iran,American Samoa
Andean Latin America,American Samoa
Saint Lucia,American Samoa
Netherlands,American Samoa
Myanmar,American Samoa
Central Latin America,American Samoa
Tunisia,American Samoa
Barbados,American Samoa
Taiwan,American Samoa
Puerto Rico,American Samoa
Argentina,American Samoa
World,American Samoa
Guyana,American Samoa
Central Europe,American Samoa
Guyana,Andean Latin America
Zambia,Andean Latin America
England,Andean Latin America
Germany,Andean Latin America
Argentina,Andean Latin America
Bahrain,Andean Latin America
South Africa,Andean Latin America
Australasia,Andean Latin America
Saint Vincent and the Grenadines,Andean Latin America
Middle SDI,Andean Latin America
Micronesia (country),Andean Latin America
Saint Lucia,Andean Latin America
Austria,Andean Latin America
Nicaragua,Andean Latin America
High SDI,Andean Latin America
World,Andean Latin America
Trinidad and Tobago,Andean Latin America
Slovakia,Andean Latin America
New Zealand,Andean Latin America
Bosnia and Herzegovina,Andean Latin America
Venezuela,Andean Latin America
Czechia,Andean Latin America
Hungary,Andean Latin America
Haiti,Andean Latin America
North Korea,Andean Latin America
United States,Andean Latin America
Pakistan,Andean Latin America
Oceania,Andean Latin America
Myanmar,Andean Latin America
Iceland,Andean Latin America
Iraq,Andean Latin America
Southern Sub-Saharan Africa,Andean Latin America
Lebanon,Andean Latin America
Namibia,Andean Latin America
Azerbaijan,Andean Latin America
Denmark,Andean Latin America
Puerto Rico,Andean Latin America
Nepal,Andean Latin America
Libya,Andean Latin America
Sudan,Andean Latin America
Colombia,Andean Latin America
Bolivia,Andean Latin America
United Kingdom,Andean Latin America
South Korea,Andean Latin America
France,Andean Latin America
Chile,Andean Latin America
Dominica,Andean Latin America
Comoros,Andean Latin America
High-income,Andean Latin America
Vanuatu,Andean Latin America
Bahamas,Andean Latin America
Portugal,Andean Latin America
Japan,Andean Latin America
Central Europe,Andean Latin America
Indonesia,Andean Latin America
Poland,Andean Latin America
Seychelles,Andean Latin America
Brazil,Andean Latin America
Sweden,Andean Latin America
Belize,Andean Latin America
Palestine,Andean Latin America
Montenegro,Andean Latin America
Qatar,Andean Latin America
Dominican Republic,Andean Latin America
Southeast Asia,Andean Latin America
Afghanistan,Andean Latin America
Malaysia,Andean Latin America
Iran,Andean Latin America
North Africa and Middle East,Andean Latin America
Antigua and Barbuda,Andean Latin America
Paraguay,Andean Latin America
Kuwait,Andean Latin America
Kiribati,Andean Latin America
North America,Andean Latin America
Croatia,Andean Latin America
High-middle SDI,Andean Latin America
Albania,Andean Latin America
Costa Rica,Andean Latin America
Luxembourg,Andean Latin America
Norway,Andean Latin America
Taiwan,Andean Latin America
Tonga,Andean Latin America
Uruguay,Andean Latin America
Tropical Latin America,Andean Latin America
Grenada,Andean Latin America
Italy,Andean Latin America
Bulgaria,Andean Latin America
Suriname,Andean Latin America
Bermuda,Andean Latin America
United Arab Emirates,Andean Latin America
Australia,Andean Latin America
United States Virgin Islands,Andean Latin America
Romania,Andean Latin America
High-income Asia Pacific,Andean Latin America
Wales,Andean Latin America
Slovenia,Andean Latin America
Northern Ireland,Andean Latin America
Scotland,Andean Latin America
Western Europe,Andean Latin America
Philippines,Andean Latin America
Canada,Andean Latin America
Bangladesh,Andean Latin America
Central Latin America,Andean Latin America
Malta,Andean Latin America
Ireland,Andean Latin America
Caribbean,Andean Latin America
Egypt,Andean Latin America
Serbia,Andean Latin America
Saudi Arabia,Andean Latin America
Netherlands,Andean Latin America
Peru,Andean Latin America
Solomon Islands,Andean Latin America
Turkey,Andean Latin America
Fiji,Andean Latin America
Yemen,Andean Latin America
Cyprus,Andean Latin America
Panama,Andean Latin America
North Macedonia,Andean Latin America
Ecuador,Andean Latin America
Greece,Andean Latin America
Latin America and Caribbean,Andean Latin America
Honduras,Andean Latin America
Thailand,Andean Latin America
Belgium,Andean Latin America
Malawi,Andean Latin America
Southern Latin America,Andean Latin America
Andorra,Andean Latin America
Jamaica,Andean Latin America
Barbados,Andean Latin America
Marshall Islands,Andean Latin America
Northern Mariana Islands,Andean Latin America
Mexico,Andean Latin America
Laos,Andean Latin America
Samoa,Andean Latin America
Brunei,Andean Latin America
Jordan,Andean Latin America
Oman,Andean Latin America
Switzerland,Andean Latin America
American Samoa,Andean Latin America
Bhutan,Andean Latin America
Cuba,Andean Latin America
Spain,Andean Latin America
Cambodia,Andean Latin America
Algeria,Andean Latin America
Tunisia,Andean Latin America
Syria,Andean Latin America
Lebanon,Andorra
Western Europe,Andorra
Canada,Andorra
Bahrain,Andorra
Bahamas,Andorra
Caribbean,Andorra
High-middle SDI,Andorra
France,Andorra
Haiti,Andorra
Kuwait,Andorra
Thailand,Andorra
United Kingdom,Andorra
Comoros,Andorra
Indonesia,Andorra
Central Europe,Andorra
Latin America and Caribbean,Andorra
Italy,Andorra
Philippines,Andorra
North Africa and Middle East,Andorra
Luxembourg,Andorra
Southeast Asia,Andorra
Mexico,Andorra
Jordan,Andorra
Germany,Andorra
Nicaragua,Andorra
Egypt,Andorra
Solomon Islands,Andorra
Saint Lucia,Andorra
Sudan,Andorra
South Korea,Andorra
Oman,Andorra
Tonga,Andorra
Kiribati,Andorra
Saudi Arabia,Andorra
Ireland,Andorra
Libya,Andorra
Yemen,Andorra
Turkey,Andorra
Puerto Rico,Andorra
Argentina,Andorra
Croatia,Andorra
Malawi,Andorra
Samoa,Andorra
Austria,Andorra
Syria,Andorra
Switzerland,Andorra
Southern Latin America,Andorra
Jamaica,Andorra
Fiji,Andorra
South Africa,Andorra
Bermuda,Andorra
Namibia,Andorra
Grenada,Andorra
Central Latin America,Andorra
Greece,Andorra
Bosnia and Herzegovina,Andorra
High-income Asia Pacific,Andorra
Sweden,Andorra
North America,Andorra
Iceland,Andorra
Northern Ireland,Andorra
High SDI,Andorra
Japan,Andorra
United States,Andorra
Seychelles,Andorra
Norway,Andorra
Zambia,Andorra
Bangladesh,Andorra
Netherlands,Andorra
Bolivia,Andorra
Hungary,Andorra
Denmark,Andorra
Paraguay,Andorra
Northern Mariana Islands,Andorra
Guyana,Andorra
Honduras,Andorra
Saint Vincent and the Grenadines,Andorra
Belgium,Andorra
Cyprus,Andorra
Iran,Andorra
North Macedonia,Andorra
England,Andorra
Laos,Andorra
Barbados,Andorra
Spain,Andorra
Uruguay,Andorra
Poland,Andorra
Slovenia,Andorra
Marshall Islands,Andorra
Brunei,Andorra
Colombia,Andorra
Dominica,Andorra
High-income,Andorra
Serbia,Andorra
Middle SDI,Andorra
Trinidad and Tobago,Andorra
Myanmar,Andorra
Bulgaria,Andorra
Micronesia (country),Andorra
Suriname,Andorra
Albania,Andorra
Afghanistan,Andorra
Venezuela,Andorra
Tropical Latin America,Andorra
Andean Latin America,Andorra
Antigua and Barbuda,Andorra
Nepal,Andorra
Brazil,Andorra
Portugal,Andorra
Qatar,Andorra
Dominican Republic,Andorra
Pakistan,Andorra
Peru,Andorra
Malaysia,Andorra
Iraq,Andorra
Scotland,Andorra
Taiwan,Andorra
Montenegro,Andorra
Ecuador,Andorra
United States Virgin Islands,Andorra
Costa Rica,Andorra
Belize,Andorra
Oceania,Andorra
Cambodia,Andorra
Romania,Andorra
Czechia,Andorra
Wales,Andorra
World,Andorra
Palestine,Andorra
Vanuatu,Andorra
Azerbaijan,Andorra
United Arab Emirates,Andorra
North Korea,Andorra
Bhutan,Andorra
Malta,Andorra
Cuba,Andorra
Australasia,Andorra
Chile,Andorra
Algeria,Andorra
Panama,Andorra
Slovakia,Andorra
New Zealand,Andorra
Tunisia,Andorra
Southern Sub-Saharan Africa,Andorra
American Samoa,Andorra
Australia,Andorra
Eastern Sub-Saharan Africa,Angola
Vietnam,Angola
Singapore,Angola
Eswatini,Angola
Sierra Leone,Angola
Congo,Angola
Low-middle SDI,Angola
Cape Verde,Angola
South Sudan,Angola
Turkmenistan,Angola
Gabon,Angola
Lithuania,Angola
Moldova,Angola
Tanzania,Angola
El Salvador,Angola
Liberia,Angola
Southeast Asia East Asia and Oceania,Angola
Mauritania,Angola
Latvia,Angola
Uganda,Angola
Botswana,Angola
Papua New Guinea,Angola
East Asia,Angola
Ghana,Angola
Central Asia,Angola
Estonia,Angola
Central African Republic,Angola
India,Angola
Finland,Angola
South Asia,Angola
Benin,Angola
Togo,Angola
Sri Lanka,Angola
Cameroon,Angola
Western Sub-Saharan Africa,Angola
Equatorial Guinea,Angola
Burundi,Angola
Low SDI,Angola
Morocco,Angola
Mauritius,Angola
Israel,Angola
Mozambique,Angola
Zimbabwe,Angola
Armenia,Angola
Kyrgyzstan,Angola
Senegal,Angola
Guinea,Angola
Guam,Angola
Chad,Angola
Burkina Faso,Angola
Mongolia,Angola
Belarus,Angola
Madagascar,Angola
Tajikistan,Angola
Georgia,Angola
Central Sub-Saharan Africa,Angola
Guinea-Bissau,Angola
Greenland,Angola
Djibouti,Angola
Ethiopia,Angola
Lesotho,Angola
China,Angola
Uzbekistan,Angola
Sao Tome and Principe,Angola
Nigeria,Angola
Sub-Saharan Africa,Angola
Timor,Angola
Eastern Europe,Angola
Rwanda,Angola
Guatemala,Angola
Ukraine,Angola
Eritrea,Angola
Kazakhstan,Angola
Russia,Angola
Cote d'Ivoire,Angola
Democratic Republic of Congo,Angola
Gambia,Angola
Kenya,Angola
Niger,Angola
Mali,Angola
Central Europe Eastern Europe and Central Asia,Angola
Somalia,Angola
Maldives,Angola
American Samoa,Antigua and Barbuda
Northern Ireland,Antigua and Barbuda
Bermuda,Antigua and Barbuda
Colombia,Antigua and Barbuda
Australia,Antigua and Barbuda
Bolivia,Antigua and Barbuda
Northern Mariana Islands,Antigua and Barbuda
Kiribati,Antigua and Barbuda
Tropical Latin America,Antigua and Barbuda
Greece,Antigua and Barbuda
Belgium,Antigua and Barbuda
Zambia,Antigua and Barbuda
Oceania,Antigua and Barbuda
United Kingdom,Antigua and Barbuda
Azerbaijan,Antigua and Barbuda
Italy,Antigua and Barbuda
Tunisia,Antigua and Barbuda
Netherlands,Antigua and Barbuda
Libya,Antigua and Barbuda
Spain,Antigua and Barbuda
Lebanon,Antigua and Barbuda
Pakistan,Antigua and Barbuda
United Arab Emirates,Antigua and Barbuda
High-income,Antigua and Barbuda
Ecuador,Antigua and Barbuda
United States Virgin Islands,Antigua and Barbuda
Barbados,Antigua and Barbuda
Saint Lucia,Antigua and Barbuda
Cyprus,Antigua and Barbuda
Costa Rica,Antigua and Barbuda
World,Antigua and Barbuda
Andorra,Antigua and Barbuda
Vanuatu,Antigua and Barbuda
Thailand,Antigua and Barbuda
Fiji,Antigua and Barbuda
Trinidad and Tobago,Antigua and Barbuda
North Macedonia,Antigua and Barbuda
Bahamas,Antigua and Barbuda
Cambodia,Antigua and Barbuda
Philippines,Antigua and Barbuda
Uruguay,Antigua and Barbuda
Cuba,Antigua and Barbuda
High-income Asia Pacific,Antigua and Barbuda
Scotland,Antigua and Barbuda
Panama,Antigua and Barbuda
Czechia,Antigua and Barbuda
Latin America and Caribbean,Antigua and Barbuda
Venezuela,Antigua and Barbuda
Bulgaria,Antigua and Barbuda
Dominican Republic,Antigua and Barbuda
Caribbean,Antigua and Barbuda
Nicaragua,Antigua and Barbuda
Algeria,Antigua and Barbuda
Grenada,Antigua and Barbuda
Afghanistan,Antigua and Barbuda
United States,Antigua and Barbuda
Brunei,Antigua and Barbuda
Western Europe,Antigua and Barbuda
Qatar,Antigua and Barbuda
Canada,Antigua and Barbuda
North Africa and Middle East,Antigua and Barbuda
Slovenia,Antigua and Barbuda
Saint Vincent and the Grenadines,Antigua and Barbuda
Dominica,Antigua and Barbuda
Argentina,Antigua and Barbuda
South Africa,Antigua and Barbuda
Marshall Islands,Antigua and Barbuda
Austria,Antigua and Barbuda
Central Europe,Antigua and Barbuda
Haiti,Antigua and Barbuda
Samoa,Antigua and Barbuda
Portugal,Antigua and Barbuda
Malta,Antigua and Barbuda
Germany,Antigua and Barbuda
Iraq,Antigua and Barbuda
Bangladesh,Antigua and Barbuda
Syria,Antigua and Barbuda
Iceland,Antigua and Barbuda
Montenegro,Antigua and Barbuda
South Korea,Antigua and Barbuda
Andean Latin America,Antigua and Barbuda
Luxembourg,Antigua and Barbuda
Brazil,Antigua and Barbuda
Mexico,Antigua and Barbuda
Honduras,Antigua and Barbuda
Yemen,Antigua and Barbuda
Ireland,Antigua and Barbuda
Palestine,Antigua and Barbuda
Middle SDI,Antigua and Barbuda
Albania,Antigua and Barbuda
Bosnia and Herzegovina,Antigua and Barbuda
Denmark,Antigua and Barbuda
Jordan,Antigua and Barbuda
Norway,Antigua and Barbuda
Switzerland,Antigua and Barbuda
Romania,Antigua and Barbuda
High-middle SDI,Antigua and Barbuda
Oman,Antigua and Barbuda
Puerto Rico,Antigua and Barbuda
Bhutan,Antigua and Barbuda
Indonesia,Antigua and Barbuda
Bahrain,Antigua and Barbuda
Serbia,Antigua and Barbuda
Laos,Antigua and Barbuda
Nepal,Antigua and Barbuda
Paraguay,Antigua and Barbuda
Poland,Antigua and Barbuda
Namibia,Antigua and Barbuda
Sweden,Antigua and Barbuda
Peru,Antigua and Barbuda
Southern Sub-Saharan Africa,Antigua and Barbuda
Central Latin America,Antigua and Barbuda
Solomon Islands,Antigua and Barbuda
Tonga,Antigua and Barbuda
Japan,Antigua and Barbuda
Belize,Antigua and Barbuda
Saudi Arabia,Antigua and Barbuda
High SDI,Antigua and Barbuda
England,Antigua and Barbuda
Hungary,Antigua and Barbuda
Taiwan,Antigua and Barbuda
Jamaica,Antigua and Barbuda
Suriname,Antigua and Barbuda
Guyana,Antigua and Barbuda
Iran,Antigua and Barbuda
Malaysia,Antigua and Barbuda
Egypt,Antigua and Barbuda
North America,Antigua and Barbuda
New Zealand,Antigua and Barbuda
Seychelles,Antigua and Barbuda
France,Antigua and Barbuda
Micronesia (country),Antigua and Barbuda
Australasia,Antigua and Barbuda
Southern Latin America,Antigua and Barbuda
Sudan,Antigua and Barbuda
Chile,Antigua and Barbuda
Comoros,Antigua and Barbuda
Myanmar,Antigua and Barbuda
Croatia,Antigua and Barbuda
Southeast Asia,Antigua and Barbuda
Malawi,Antigua and Barbuda
Turkey,Antigua and Barbuda
Slovakia,Antigua and Barbuda
Kuwait,Antigua and Barbuda
Wales,Antigua and Barbuda
North Korea,Antigua and Barbuda
Southern Latin America,Argentina
American Samoa,Argentina
Malawi,Argentina
Honduras,Argentina
Iraq,Argentina
Vanuatu,Argentina
Solomon Islands,Argentina
Marshall Islands,Argentina
Haiti,Argentina
United States,Argentina
South Africa,Argentina
Norway,Argentina
North Macedonia,Argentina
Paraguay,Argentina
Poland,Argentina
Yemen,Argentina
Algeria,Argentina
Thailand,Argentina
Belize,Argentina
Panama,Argentina
South Korea,Argentina
Western Europe,Argentina
Bahamas,Argentina
Samoa,Argentina
High-income Asia Pacific,Argentina
Sweden,Argentina
United States Virgin Islands,Argentina
Romania,Argentina
World,Argentina
Portugal,Argentina
Slovakia,Argentina
Croatia,Argentina
Dominica,Argentina
Qatar,Argentina
